ACCESSION	UNIPROT_NAME	GID	GENE_NAME	SUBMITTED_PROTEIN_NAME	RECOMMENDED_PTN_NAME
Q88LC5	Q88LC5_PSEPK	PP_2010		Cytochrome b561	
Q88LN3	Q88LN3_PSEPK	PP_1896	yadH		Transport permease protein
Q88LU9	Q88LU9_PSEPK	PP_1828			N-acetyltransferase
Q88M43	MINE_PSEPK	PP_1732	minE		Cell division topological specificity factor
Q88MK3	Q88MK3_PSEPK	PP_1568			Mu-like prophage FluMu N-terminal domain-containing protein
Q88MS7	Q88MS7_PSEPK	PP_1491		CheW domain protein	
Q88MU0	Q88MU0_PSEPK	PP_1478		Xenobiotic reductase	
Q88N15	Q88N15_PSEPK	PP_1401	dctD-III	C4-dicarboxylate transport transcriptional regulatory protein	
Q88N89	Q88N89_PSEPK	PP_1323	gmhA		Phosphoheptose isomerase
Q88NB1	Q88NB1_PSEPK	PP_1301	degS		Probable periplasmic serine endoprotease DegP-like
Q88NB9	Q88NB9_PSEPK	PP_1293	moaD		Molybdopterin synthase sulfur carrier subunit
Q88NN0	Q88NN0_PSEPK	PP_1177	nrdB		Ribonucleoside-diphosphate reductase subunit beta
Q88NW8	RNT_PSEPK	PP_1085	rnt		Ribonuclease T
Q88NZ0	Q88NZ0_PSEPK	PP_1063	metR-I		HTH-type transcriptional regulator MetR
Q88NZ3	Q88NZ3_PSEPK	PP_1060		Glutamate synthase, large subunit	
Q88NZ4	Q88NZ4_PSEPK	PP_1059	ytnA	Uncharacterized amino acid permease YtnA	
Q88P50	Q88P50_PSEPK	PP_1003	arcD-II	Arginine/ornithine antiporter	
Q88P76	SYV_PSEPK	PP_0977	valS		Valine--tRNA ligase
Q52244	Q88PA0_PSEPK	PP_0950	ptsN	Phosphotransferase system enzyme IIA, regulation of potassium transport	
Q88PC6	Q88PC6_PSEPK	PP_0924			Hemolysin
Q88PD0	Q88PD0_PSEPK	PP_0920	xenB	Xenobiotic reductase B	
Q88PY0	Q88PY0_PSEPK	PP_0718		Sulfate transporter	
Q88Q09	RL27_PSEPK	PP_0689	rpmA		Large ribosomal subunit protein bL27
Q88Q35	Q88Q35_PSEPK	PP_0663		Transcriptional regulator, AsnC family	
Q88QF5	Q88QF5_PSEPK	PP_0539	mtfA	Glucose-regulated peptidase	
Q88QM6	RS17_PSEPK	PP_0463	rpsQ		Small ribosomal subunit protein uS17
Q88QM8	RL16_PSEPK	PP_0461	rplP		Large ribosomal subunit protein uL16
Q88QY7	Q88QY7_PSEPK	PP_0347			Serine/threonine protein kinase
Q88R51	Q88R51_PSEPK	PP_0283	aotP	Arginine/ornithine transport ATP-binding protein AotP	
Q88R55	Q88R55_PSEPK	PP_0279			Methyltransferase domain-containing protein
Q88RC6	Q88RC6_PSEPK	PP_0206		Ferredoxin, 4Fe-4S	
Q88RH3	Q88RH3_PSEPK	PP_0157	gcdR	Transcriptional activator of gcdH, LysR family	
Q88RI0	Q88RI0_PSEPK	PP_0149			DUF4105 domain-containing protein
Q88RW0	Q88RW0_PSEPK	PP_0019			Transcriptional regulator
A0A140FVY6	A0A140FVY6_PSEPK	PP_5442		Uncharacterized protein	
A0A140FW47	A0A140FW47_PSEPK	PP_1939			Formaldehyde dehydrogenase, glutathione-independent
A0A140FWC2	A0A140FWC2_PSEPK	PP_5571		Uncharacterized protein	
A0A140FWF0	A0A140FWF0_PSEPK	PP_5743		TonB-dependent receptor protein	
A0A140FWT3	A0A140FWT3_PSEPK	PP_5728			RHS repeat-associated core domain-containing protein
Q877Q0	Q877Q0_PSEPK	PP_4745		Transposase	
Q88CT8	Q88CT8_PSEPK	PP_5092		Exported NLP/P60 protein	
Q88CZ3	Q88CZ3_PSEPK	PP_5036	hutF	Probable formiminoglutamate deiminase	
Q88D31	Q88D31_PSEPK	PP_4997	pyrR	Pyrimidine operon regulatory protein/uracil phosphoribosyltransferase	
Q88D33	Y4995_PSEPK	PP_4995			UPF0301 protein PP_4995
Q88D51	Q88D51_PSEPK	PP_4977	metF		Methylenetetrahydrofolate reductase
Q88D94	Q88D94_PSEPK	PP_4933			Metal ABC transporter ATPase
Q88DA0	Q88DA0_PSEPK	PP_4927	cyaB	Cyclolysin secretion/processing ATP-binding protein CyaB	
Q88DB1	Q88DB1_PSEPK	PP_4916		Esterase	
Q88DE8	RS6_PSEPK	PP_4877	rpsF		Small ribosomal subunit protein bS6
Q88DE9	RS18_PSEPK	PP_4876	rpsR		Small ribosomal subunit protein bS18
Q88DI5	Q88DI5_PSEPK	PP_4840	cycA	D-alanine, beta-alanine, D-serine, glycine permease	
Q88DK3	PUR9_PSEPK	PP_4822	purH		Bifunctional purine biosynthesis protein PurH
Q88DP9	Q88DP9_PSEPK	PP_4774	fieF	Divalent cation efflux transporter	
Q88DQ6	Q88DQ6_PSEPK	PP_4767	yedA	Amino acid exporter for phenylalanine, threonine	
Q88E42	Q88E42_PSEPK	PP_4626	cidA	Holin regulator of murein hydrolases	
Q88E87	Q88E87_PSEPK	PP_4579		Transcriptional regulator, LysR family	
Q88ED6	Q88ED6_PSEPK	PP_4529			3-oxoacyl-ACP synthase
Q88EV4	Q88EV4_PSEPK	PP_4348		Cystathionine beta-lyase	
Q88EW8	Q88EW8_PSEPK	PP_4334		ParA family protein	
Q88F43	Q88F43_PSEPK	PP_4256	ccoO-II	Cytochrome c oxidase subunit, cbb3-type	
Q88FB5	Q88FB5_PSEPK	PP_4183			DUF599 family protein
Q88FE1	Q88FE1_PSEPK	PP_4156		Transcriptional regulator, LysR family	
Q88FI6	Q88FI6_PSEPK	PP_4109		Uncharacterized protein	
Q88FR0	Q88FR0_PSEPK	PP_4027			RHS repeat-associated core domain-containing protein
Q88FX5	Q88FX5_PSEPK	PP_3951	pcaI		3-oxoadipate CoA-transferase
Q88G06	Q88G06_PSEPK	PP_3920		Phage integrase	
Q88G13	Q88G13_PSEPK	PP_3913		Uncharacterized protein	
Q88G51	Q88G51_PSEPK	PP_3875		Uncharacterized protein	
Q88G64	Q88G64_PSEPK	PP_3861		Phage FluMu protein gp46	
Q88GB1	Q88GB1_PSEPK	PP_3813	ribAB-II		3,4-dihydroxy-2-butanone 4-phosphate synthase
Q88GI7	Q88GI7_PSEPK	PP_3735		ABC transporter ATP-binding protein	
Q88GK2	Q88GK2_PSEPK	PP_3719		Putrescine-binding periplasmic protein	
Q88GQ2	Q88GQ2_PSEPK	PP_3666		Metabolite MFS transporter, MHS family	
Q88GZ4	Q88GZ4_PSEPK	PP_3571		Acetylornithine deacetylase	
Q88H23	Q88H23_PSEPK	PP_3542			DUF3203 domain-containing protein
Q88H66	Q88H66_PSEPK	PP_3495	trmK	tRNA (Adenine(22)-N(1))-methyltransferase	
Q88H69	Q88H69_PSEPK	PP_3492		Short-chain acyl-CoA dehydrogenase	
Q88H75	Q88H75_PSEPK	PP_3486		Cytochrome c	
Q88HA6	Q88HA6_PSEPK	PP_3454		Transcriptional regulatory protein	
Q88HE7	Q88HE7_PSEPK	PP_3413			histidine kinase
Q88HP5	Q88HP5_PSEPK	PP_3308	paoA	Promiscuous aromatic aldehyde dehydrogenase, 2Fe-2S subunit	
Q88HW6	Q88HW6_PSEPK	PP_3237		Universal stress protein family	
Q88IA7	Q88IA7_PSEPK	PP_3092			Type IV / VI secretion system DotU domain-containing protein
Q88IF7	Q88IF7_PSEPK	PP_3042		Terminase, large subunit	
Q88IG5	Q88IG5_PSEPK	PP_3034		Regulator protein	
Q88IK2	Q88IK2_PSEPK	PP_2997		CnmA	
Q88IL0	Q88IL0_PSEPK	PP_2989		Oxidoreductase, short chain dehydrogenase/reductase family	
Q88J68	Q88J68_PSEPK	PP_2781		Beta-ketoacyl synthase	
Q88J78	Q88J78_PSEPK	PP_2771		Sigma-54 dependent transcriptional regulator	
Q88J79	Q88J79_PSEPK	PP_2770			Leucine-binding protein domain-containing protein
Q88JE3	Q88JE3_PSEPK	PP_2706		Uncharacterized protein	
Q88JG0	Q88JG0_PSEPK	PP_2689		Endoribonuclease	
Q88JQ0	Q88JQ0_PSEPK	PP_2599		Chemotaxis sensory transducer family protein	
Q88JQ5	Q88JQ5_PSEPK	PP_2594	fatD	Ferric anguibactin transport system permease protein FatD	
Q88JU5	Q88JU5_PSEPK	PP_2552		DOPA decarboxylase	
Q88JX7	GALR_PSEPK	PP_2516	galR		HTH-type transcriptional regulator GalR
Q88JY7	Q88JY7_PSEPK	PP_2506			DUF2165 domain-containing protein
Q88KA5	Q88KA5_PSEPK	PP_2385	azlC	Branched-chain amino acid transport protein AzlC	
Q88KA7	Q88KA7_PSEPK	PP_2383		Transcriptional regulator, AraC family	
Q88KP6	Q88KP6_PSEPK	PP_2244			Probable membrane transporter protein
Q88KR4	Q88KR4_PSEPK	PP_2226	mrpF	K(+)/H(+) antiporter subunit F	
Q88KS7	Q88KS7_PSEPK	PP_2212			RING-type E3 ubiquitin transferase
Q88KZ5	Q88KZ5_PSEPK	PP_2144		Transcriptional regulator, TetR family	
Q88L44	Q88L44_PSEPK	PP_2091		Serine/threonine-protein kinase	
Q88L51	RRAAH_PSEPK	PP_2084			Putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase
Q88L67	Q88L67_PSEPK	PP_2068		Multidrug efflux MFS membrane fusion protein	
Q88L92	Q88L92_PSEPK	PP_2043			DUF1329 domain-containing protein
Q88LC3	NADK_PSEPK	PP_2012	nadK		NAD kinase
Q88LT3	Q88LT3_PSEPK	PP_1844	plsC		1-acyl-sn-glycerol-3-phosphate acyltransferase
Q88M84	Q88M84_PSEPK	PP_1690		Uncharacterized protein	
Q88M96	Q88M96_PSEPK	PP_1678	cobP		Bifunctional adenosylcobalamin biosynthesis protein
Q88MG9	FABZ_PSEPK	PP_1602	fabZ		3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
Q88MK0	Q88MK0_PSEPK	PP_1571			HK97 gp10 family phage protein
Q88MK7	Q88MK7_PSEPK	PP_1564		Uncharacterized protein	
Q88MW3	Q88MW3_PSEPK	PP_1455			Fe-S protein
Q88MY9	Q88MY9_PSEPK	PP_1429	mucB	Sigma factor AlgU regulatory protein MucB	
Q88NB2	Q88NB2_PSEPK	PP_1300	yhdZ	Amino acid ABC transporter-ATP-binding subunit	
Q88NB7	RHLB_PSEPK	PP_1295	rhlB		ATP-dependent RNA helicase RhlB
Q88NH3	Q88NH3_PSEPK	PP_1236			Glycine cleavage system transcriptional repressor
Q88NT5	Y1119_PSEPK	PP_1119			UPF0225 protein PP_1119
Q88PG0	Q88PG0_PSEPK	PP_0890			Amidase
Q88PS7	Q88PS7_PSEPK	PP_0771	chpB	mRNA interferase	
Q88PY5	Q88PY5_PSEPK	PP_0713	kefB-I	Kef-type potassium/proton antiporter, CPA2 family	
Q88Q56	Q88Q56_PSEPK	PP_0642			YitT family protein
Q88QA0	Q88QA0_PSEPK	PP_0594		Transcriptional regulator, TetR family	
Q88QJ0	Q88QJ0_PSEPK	PP_0502			HTH hxlR-type domain-containing protein
Q88QQ1	Q88QQ1_PSEPK	PP_0437	birA		Bifunctional ligase/repressor BirA
Q88QX7	Q88QX7_PSEPK	PP_0357			Glycine cleavage system transcriptional repressor
Q88R41	HIS6_PSEPK	PP_0293	hisF		Imidazole glycerol phosphate synthase subunit HisF
Q88R49	FETP_PSEPK	PP_0285			Probable Fe(2+)-trafficking protein
Q88R71	Q88R71_PSEPK	PP_0263	dctD-I	C4-dicarboxylate transport transcriptional regulatory protein	
Q88RB4	Q88RB4_PSEPK	PP_0219	metP	L,D-methionine D-methionine ABC transporter-permease subunit	
Q88RN2	Q88RN2_PSEPK	PP_0097			DNA-binding protein
Q88RV3	Q88RV3_PSEPK	PP_0026		Cobalt/cadmium/zinc exporter	
A0A140FW48	A0A140FW48_PSEPK	PP_5493		Uncharacterized protein	
A0A140FW57	A0A140FW57_PSEPK	PP_5502	rmf		Ribosome modulation factor
A0A140FW75	A0A140FW75_PSEPK	PP_5521		Uncharacterized protein	
A0A140FWN4	A0A140FWN4_PSEPK	PP_5682		Uncharacterized protein	
A0A140FWP9	A0A140FWP9_PSEPK	PP_5696			HDOD domain-containing protein
A0A140FWR6	A0A140FWR6_PSEPK	PP_5713		Uncharacterized protein	
P43037	CPOB_PSEPK	PP_1224	cpoB		Cell division coordinator CpoB
Q7CCB3	Q7CCB3_PSEPK	PP_4494		LysR-type transcriptional activator protein	
Q88C93	ALGC_PSEPK	PP_5288	algC		Phosphomannomutase/phosphoglucomutase
Q88CF1	XERC_PSEPK	PP_5230	xerC		Tyrosine recombinase XerC
Q88CN2	Q88CN2_PSEPK	PP_5148			DUF2269 domain-containing protein
Q88CU9	Q88CU9_PSEPK	PP_5081		Type IV pili biogenesis protein	
Q88D71	Q88D71_PSEPK	PP_4956	elaA	Acyltransferase	
Q88DG5	Q88DG5_PSEPK	PP_4860		Mannose-6-phosphate isomerase	
Q88DQ3	Q88DQ3_PSEPK	PP_4770			DUF2076 domain-containing protein
Q88DU2	DNAK_PSEPK	PP_4727	dnaK		Chaperone protein DnaK
Q88DV1	Q88DV1_PSEPK	PP_4718	ftsH		ATP-dependent zinc metalloprotease FtsH
Q88E41	Q88E41_PSEPK	PP_4627	cidR	Transcriptional regulator, LysR family	
Q88E94	Q88E94_PSEPK	PP_4572			DUF748 domain-containing protein
Q88EE7	Q88EE7_PSEPK	PP_4518			Inner membrane protein
Q88EH5	Q88EH5_PSEPK	PP_4488			DUF2790 domain-containing protein
Q88EL4	Q88EL4_PSEPK	PP_4448			Helicase HerA central domain-containing protein
Q88EY5	Q88EY5_PSEPK	PP_4315		Enzyme	
Q88F48	Q88F48_PSEPK	PP_4251	ccoO-I	Cytochrome c oxidase subunit, cbb3-type	
Q88F52	Q88F52_PSEPK	PP_4247		Exonuclease	
Q88F65	Q88F65_PSEPK	PP_4233		Oxidoreductase, small subunit	
Q88F67	Q88F67_PSEPK	PP_4231		Xanthine dehydrogenase accessory factor	
Q88F75	Q88F75_PSEPK	PP_4223	pvdH	Diaminobutyrate-2-oxoglutarate transaminase	
Q88F89	Q88F89_PSEPK	PP_4209	pvdR	ABC export system, membrane fusion protein	
Q88FD0	Q88FD0_PSEPK	PP_4168			Lipase
Q88FT0	Q88FT0_PSEPK	PP_4002	rarA		Replication-associated recombination protein A
Q88FV6	Q88FV6_PSEPK	PP_3972		Oxidoreductase, short chain dehydrogenase/reductase family	
Q88FX6	Q88FX6_PSEPK	PP_3950		Methyl-accepting chemotaxis transducer	
Q88G71	Q88G71_PSEPK	PP_3854			Lysozyme
Q88G89	Q88G89_PSEPK	PP_3836		Uncharacterized protein	
Q88GJ6	Q88GJ6_PSEPK	PP_3726		Enoyl-CoA hydratase/isomerase family protein	
Q88GL1	Q88GL1_PSEPK	PP_3710		Uncharacterized protein	
Q88GW2	Q88GW2_PSEPK	PP_3605		Transcriptional regulator, LysR family	
Q88GY5	Q88GY5_PSEPK	PP_3580			DUF1652 domain-containing protein
Q88H20	Q88H20_PSEPK	PP_3545			histidine kinase
Q88H56	Q88H56_PSEPK	PP_3509			Bleomycin resistance protein
Q88H80	Q88H80_PSEPK	PP_3481			Pilus assembly protein
Q88HJ4	Q88HJ4_PSEPK	PP_3362		Transcriptional regulator, AsnC family	
Q88HL7	Q88HL7_PSEPK	PP_3339			DUF2946 domain-containing protein
Q88HR9	Q88HR9_PSEPK	PP_3284	paaF	Enoyl-CoA hydratase-isomerase	
Q88I24	Q88I24_PSEPK	PP_3178	garK	Glycerate kinase	
Q88I35	Q88I35_PSEPK	PP_3166	catA-II		catechol 1,2-dioxygenase
Q88I97	Q88I97_PSEPK	PP_3102			Tsi6 domain-containing protein
Q88ID7	Q88ID7_PSEPK	PP_3062		Pyocin R2_PP, tail length determination protein	
Q88IJ3	Q88IJ3_PSEPK	PP_3006		RNA polymerase sigma-70 factor, ECF subfamily	
Q88IV6	Q88IV6_PSEPK	PP_2893			Translocation/assembly module TamB
Q88IV7	Q88IV7_PSEPK	PP_2892			Translocation and assembly module subunit TamA
Q88IZ0	Q88IZ0_PSEPK	PP_2859			NadR/Ttd14 AAA domain-containing protein
Q88J50	Q88J50_PSEPK	PP_2799		Aminotransferase, class III	
Q88J59	Q88J59_PSEPK	PP_2790		Sigma-54 dependent sensory box protein	
Q88JH6	Q88JH6_PSEPK	PP_2673		Pentapeptide repeat family protein	
Q88JJ6	Q88JJ6_PSEPK	PP_2653		Transcriptional regulator, Cro/CI family	
Q88JK6	PCAY_PSEPK	PP_2643	pcaY		Methyl-accepting chemotaxis protein PcaY
Q88JT9	Q88JT9_PSEPK	PP_2558		Outer membrane efflux protein	
Q88JU7	Y2550_PSEPK	PP_2550			Probable transcriptional regulatory protein PP_2550
Q88JX3	Q88JX3_PSEPK	PP_2524		HD domain protein	
Q88K20	Q88K20_PSEPK	PP_2473			Inovirus Gp2 family protein
Q88KK4	Q88KK4_PSEPK	PP_2286		Uncharacterized protein	
Q88KQ9	Q88KQ9_PSEPK	PP_2231		Permease of the drug/metabolite transporter (DMT) superfamily	
Q88KS1	Q88KS1_PSEPK	PP_2219		Uncharacterized protein	
Q88KX2	Q88KX2_PSEPK	PP_2167		PhoD-like phosphatase	
Q88L07	Q88L07_PSEPK	PP_2130		Soluble lytic transglycosylase	
Q88L90	Q88L90_PSEPK	PP_2045		Metallo-beta-lactamase family protein	
Q88LB5	Q88LB5_PSEPK	PP_2020		Lipoprotein	
Q88LC1	Q88LC1_PSEPK	PP_2014			Rhomboid family intramembrane serine protease
Q88LF2	DUSC_PSEPK	PP_1981	dusC		tRNA-dihydrouridine(16) synthase
Q88LI8	Q88LI8_PSEPK	PP_1944		Aminomethyltransferase	
Q88MW7	Q88MW7_PSEPK	PP_1451			YkuD domain-containing protein
Q88NA0	Q88NA0_PSEPK	PP_1312	zapE		Cell division protein ZapE
Q88NM3	Q88NM3_PSEPK	PP_1184		Dienelactone hydrolase family protein	
Q88NR7	Q88NR7_PSEPK	PP_1138	livG	Branched chain amino acid transporter-ATP binding subunit	
Q88NT0	Q88NT0_PSEPK	PP_1124			Copper resistance protein D domain-containing protein
Q88NT2	Q88NT2_PSEPK	PP_1122		OmpA family protein	
Q88NT8	Q88NT8_PSEPK	PP_1116		Site-specific recombinase, resolvase family	
Q88NZ5	Q88NZ5_PSEPK	PP_1058			Glycosyl transferase family 51 domain-containing protein
Q88PH5	Q88PH5_PSEPK	PP_0875			FAD dependent oxidoreductase domain-containing protein
Q88PK3	Q88PK3_PSEPK	PP_0847	fdx		2Fe-2S ferredoxin
Q88PK4	HSCA_PSEPK	PP_0846	hscA		Chaperone protein HscA homolog
Q88PL7	TGT_PSEPK	PP_0833	tgt		Queuine tRNA-ribosyltransferase
Q88PN1	Q88PN1_PSEPK	PP_0818			DUF2974 domain-containing protein
Q88PR2	Q88PR2_PSEPK	PP_0786	trxB		Thioredoxin reductase
Q88Q14	Q88Q14_PSEPK	PP_0684	fklB-I		Peptidyl-prolyl cis-trans isomerase
Q88Q22	Q88Q22_PSEPK	PP_0676		Transcription elongation factor	
Q88QA3	ADE_PSEPK	PP_0591			Adenine deaminase
Q88QD6	Q88QD6_PSEPK	PP_0558	accC		Biotin carboxylase
Q88QF1	Q88QF1_PSEPK	PP_0543	eutB		Ethanolamine ammonia-lyase large subunit
Q88QH2	Q88QH2_PSEPK	PP_0521			Solute-binding protein family 3/N-terminal domain-containing protein
Q88QU5	PLSY_PSEPK	PP_0391	plsY		Glycerol-3-phosphate acyltransferase
Q88QZ3	Q88QZ3_PSEPK	PP_0341	waaF	ADP-heptose:LPS heptosyltransferase II	
Q88R99	Q88R99_PSEPK	PP_0234	oprE	Outer-membrane porin E	
Q88RB5	Q88RB5_PSEPK	PP_0218		Sensory box protein	
Q88RC9	Q88RC9_PSEPK	PP_0203		Dipeptidase	
Q88RJ9	Q88RJ9_PSEPK	PP_0130	amiD	1,6-anhydro-N-acetylmuramyl-L-alanine amidase	
Q88RL9	CYOE1_PSEPK	PP_0110	cyoE1		Protoheme IX farnesyltransferase 1
Q88RU8	Q88RU8_PSEPK	PP_0031		Uncharacterized protein	
A0A140FVZ6	A0A140FVZ6_PSEPK	PP_0623	rluD		Pseudouridine synthase
A0A140FW70	A0A140FW70_PSEPK	PP_5515		Uncharacterized protein	
A0A140FWB4	A0A140FWB4_PSEPK	PP_5561			Type VI secretion system-associated protein TagF
P13455	DPO3B_PSEPK	PP_0011	dnaN		Beta sliding clamp
P59351	Y396_PSEPK	PP_0396			UPF0229 protein PP_0396
Q88BY8	Q88BY8_PSEPK	PP_5399		Uncharacterized protein	
Q88C80	Q88C80_PSEPK	PP_5303	ridA	Aminoacrylate/iminopropionate hydrolase/deaminase	
Q88CA5	Q88CA5_PSEPK	PP_5276		Phospholipase D family protein	
Q88CH5	Q88CH5_PSEPK	PP_5206	yhiI	Translation-related protein	
Q88CJ7	Q88CJ7_PSEPK	PP_5183	spuB	Glutamylpolyamine synthetase	
Q88CN4	RPPH_PSEPK	PP_5146	rppH		RNA pyrophosphohydrolase
Q88CP4	Q88CP4_PSEPK	PP_5136		ABC transporter, permease protein	
Q88CP8	Q88CP8_PSEPK	PP_5132	folA		Dihydrofolate reductase
Q88CT2	Q88CT2_PSEPK	PP_5098	metW	Methionine biosynthesis protein MetW	
Q88CT5	Q88CT5_PSEPK	PP_5095	proI		Pyrroline-5-carboxylate reductase
Q88CX4	GPMI_PSEPK	PP_5056	gpmI		2,3-bisphosphoglycerate-independent phosphoglycerate mutase
Q88D02	DTD_PSEPK	PP_5027	dtd		D-aminoacyl-tRNA deacylase
Q88D03	OPGG_PSEPK	PP_5026	opgG		Glucans biosynthesis protein G
Q88D59	LIGB_PSEPK	PP_4968	ligB		DNA ligase B
Q88DF8	Q88DF8_PSEPK	PP_4867		Branched-chain amino acid ABC transporter, periplasmic amino acid-binding protein (BraC-like)	
Q88DK1	Q88DK1_PSEPK	PP_4824			histidine kinase
Q88DS3	Q88DS3_PSEPK	PP_4750		Amino acid ABC transporter, permease protein	
Q88EF3	Q88EF3_PSEPK	PP_4512		Permease of the drug/metabolite transporter (DMT) superfamily	
Q88EW1	Q88EW1_PSEPK	PP_4341	fliA		RNA polymerase sigma factor FliA
Q88EX4	Q88EX4_PSEPK	PP_4328			Flagellar hook-length control protein-like C-terminal domain-containing protein
Q88F86	Q88F86_PSEPK	PP_4212	pvdP	Pyoverdine biosynthesis related protein	
Q88FE6	Q88FE6_PSEPK	PP_4151		Excisionase domain protein	
Q88G07	Q88G07_PSEPK	PP_3919			DUF4224 domain-containing protein
Q88GE1	Q88GE1_PSEPK	PP_3783	syrB	Syringomycin biosynthesis enzyme 2	
Q88GF7	Q88GF7_PSEPK	PP_3767		Uncharacterized protein	
Q88GP4	Q88GP4_PSEPK	PP_3676			Core-binding (CB) domain-containing protein
Q88GQ6	Q88GQ6_PSEPK	PP_3662			AMP nucleosidase
Q88GS8	Q88GS8_PSEPK	PP_3640		Transcriptional regulator, AraC family	
Q88GY8	Q88GY8_PSEPK	PP_3577	fecI	RNA polymerase, sigma 19 factor	
Q88H39	Q88H39_PSEPK	PP_3526		Transcriptional regulator, AraC family	
Q88HB0	Q88HB0_PSEPK	PP_3450			Bacteriophage N4 adsorption protein A C-terminal domain-containing protein
Q88HM5	Q88HM5_PSEPK	PP_3329			DUF2254 domain-containing protein
Q88HP8	Q88HP8_PSEPK	PP_3305		Membrane protein, TerC family	
Q88HT2	Q88HT2_PSEPK	PP_3271	phaK	Phenylacetic acid-specific porin	
Q88HW2	Q88HW2_PSEPK	PP_3241			DUF4142 domain-containing protein
Q88I23	Q88I23_PSEPK	PP_3179		Transcriptional regulator, LysR family	
Q88I84	Q88I84_PSEPK	PP_3117			Translesion DNA synthesis-associated protein ImuA
Q88ID6	Q88ID6_PSEPK	PP_3063	gpU	Pyocin R2_PP, tail formation protein	
Q88IE3	Q88IE3_PSEPK	PP_3056		Pyocin R2_PP, tail fiber protein	
Q88IF2	Q88IF2_PSEPK	PP_3047			Major capsid protein E
Q88IH7	Q88IH7_PSEPK	PP_3022		Transcriptional regulator, AraC family	
Q88II6	Q88II6_PSEPK	PP_3013		Uncharacterized protein	
Q88IU4	SYC_PSEPK	PP_2905	cysS		Cysteine--tRNA ligase
Q88IW0	Q88IW0_PSEPK	PP_2889		Transmembrane regulator PrtR	
Q88IZ7	Q88IZ7_PSEPK	PP_2852		Sulfatase domain protein	
Q88J52	Q88J52_PSEPK	PP_2797	actP-II	Acetate permease	
Q88J64	Q88J64_PSEPK	PP_2785			DUF1302 domain-containing protein
Q88JB3	Q88JB3_PSEPK	PP_2736			Amine oxidase domain-containing protein
Q88JC1	Q88JC1_PSEPK	PP_2728			DUF1543 domain-containing protein
Q88JF7	Q88JF7_PSEPK	PP_2692		Transporter, BCCT family	
Q88JN0	Q88JN0_PSEPK	PP_2619		FHA domain protein	
Q88K38	Q88K38_PSEPK	PP_2454	rbsB	Ribose ABC transporter, periplasmic ribose-binding subunit	
Q88K49	SSTT_PSEPK	PP_2443	sstT		Serine/threonine transporter SstT
Q88K62	Q88K62_PSEPK	PP_2429		Membrane protein	
Q88KR1	Q88KR1_PSEPK	PP_2229	mrpC	K(+)/H(+) antiporter subunit C	
Q88KR6	Q88KR6_PSEPK	PP_2224		Uncharacterized protein	
Q88KS5	Q88KS5_PSEPK	PP_2214	fadBA	3-hydroxyacyl-CoA dehydrogenase type-2	
Q88KS9	Q88KS9_PSEPK	PP_2210		LysR family transcriptional regulator	
Q88KX1	TAL_PSEPK	PP_2168	tal		Transaldolase
Q88KZ3	Q88KZ3_PSEPK	PP_2146		Helicase SNF2/RAD54 family	
Q88L34	Q88L34_PSEPK	PP_2101	evgA	DNA-binding response regulator in two-component regulatory system with EvgS	
Q88L48	Q88L48_PSEPK	PP_2087	cmpX		Small-conductance mechanosensitive channel
Q88L61	Q88L61_PSEPK	PP_2074		Transcriptional regulator, LysR family	
Q88LB4	Q88LB4_PSEPK	PP_2021	ppgL	L-alpha-hydroxyglutaric acid gamma-lactonase	
Q88LX7	Q88LX7_PSEPK	PP_1800	rmd	Oxidoreductase Rmd	
Q88M18	Q88M18_PSEPK	PP_1757	bolA	DNA-binding transcriptional dual regulator	
Q88MD0	Q88MD0_PSEPK	PP_1643			DUF2069 domain-containing protein
Q88ME3	RECX_PSEPK	PP_1630	recX		Regulatory protein RecX
Q88MI2	GLND_PSEPK	PP_1589	glnD		Bifunctional uridylyltransferase/uridylyl-removing enzyme
Q88MT9	Q88MT9_PSEPK	PP_1479	hicB	HicB protein	
Q88MX6	Q88MX6_PSEPK	PP_1442			Proteinase inhibitor I42 chagasin domain-containing protein
Q88N76	MURG_PSEPK	PP_1337	murG		UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
Q88N83	Q88N83_PSEPK	PP_1330	ftsL		Cell division protein FtsL
Q88NW2	Q88NW2_PSEPK	PP_1092	nth		Endonuclease III
Q88P07	Q88P07_PSEPK	PP_1046	xcpQ	Type II secretion pathway protein XcpQ	
Q88P34	Q88P34_PSEPK	PP_1019	oprB-I	Carbohydrate-selective porin	
Q88P89	Q88P89_PSEPK	PP_0963	ttg2F	BolA family protein	
Q88PC3	Q88PC3_PSEPK	PP_0927	aroP-I	Aromatic amino acid transport protein	
Q88PD5	SODF_PSEPK	PP_0915	sodB		Superoxide dismutase [Fe]
Q88PH6	Q88PH6_PSEPK	PP_0874			(S)-ureidoglycine aminohydrolase cupin domain-containing protein
Q88PN6	Q88PN6_PSEPK	PP_0813	cyoB		Cytochrome bo(3) ubiquinol oxidase subunit 1
Q88PX8	PTH_PSEPK	PP_0720	pth		Peptidyl-tRNA hydrolase
Q88PZ7	Q88PZ7_PSEPK	PP_0701	fsr-I	Fosmidomycin efflux system	
